reporting_jurisdiction,partner_jurisdiction,year,admin_support,dormant,regulated_finance,holding_equity,internal_group_finance,insurance,ip_management,manufacturing,other_activity,purchasing,research_development,sales_marketing,services_unrelated,tangible_assets,num_mne_groups,accumulated_earnings,num_employees,num_entities,profit_before_tax,adjusted_profit_before_tax,related_party_revenues,stated_capital,num_subgroups,income_tax_accrued,income_tax_paid,total_revenues,unrelated_party_revenues,profit_positive_panel,profit_negative_panel
LUX,SLV,2019,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,185382511.0,6.0,40050875.0,3119.0,11.0,-5718736.0,,20667921.0,65982223.0,6.0,-95752.0,-14581598.0,442855288.0,422187367.0,2100121.0,-7818857.0
LUX,SLV,2020,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,190766424.1,8.0,30592018.67,3055.0,13.0,-8185958.527,,26022881.84,66373905.81,8.0,33089.826,-4601050.525,455092434.4,429069552.6,4526260.473,-12712219.0
LUX,SLV,2021,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,211485391.0,8.0,41804785.0,3381.0,13.0,21611972.0,,25914815.0,72710897.0,8.0,-7725143.0,-6807831.0,530498725.0,504583910.0,21611972.0,0.0
LUX,SRB,2016,3.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,19.0,3.0,59775694.96,17.0,-32482205.48,1655.0,26.0,3381532.392,,23119170.48,28515301.33,17.0,-168017.839,158742.637,122720784.4,99601613.9,5568732.219,-2187199.827
LUX,SRB,2017,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,14.0,3.0,42803240.0,17.0,-28436563.0,1759.0,24.0,7368576.0,,22641663.0,31942330.0,17.0,-31758.0,13953873.0,135574953.0,112933291.0,7550136.0,-181560.0
LUX,SRB,2018,4.0,6.0,0.0,2.0,1.0,0.0,1.0,5.0,1.0,3.0,1.0,18.0,3.0,220314513.1,20.0,336872770.2,4345.0,31.0,38363126.58,,301925695.3,217979223.7,20.0,2381288.053,-2340251.195,622180838.4,320255143.1,41715139.4,-3352012.827
LUX,SRB,2019,4.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,1.0,3.0,1.0,20.0,3.0,226803553.0,19.0,368343674.0,4514.0,27.0,86314628.0,,275018524.0,182335862.0,19.0,2688029.0,5837009.0,637984426.0,362965902.0,88991298.0,-2676670.0
LUX,SRB,2020,9.0,2.0,0.0,3.0,1.0,0.0,1.0,12.0,3.0,3.0,1.0,20.0,11.0,742488142.5,20.0,258306232.7,6777.0,51.0,66202728.96,,401668303.0,596138992.7,20.0,7197146.773,8753585.584,1081657915.0,679989611.6,86151470.02,-19948741.06
LUX,SRB,2021,9.0,1.0,1.0,3.0,1.0,0.0,1.0,13.0,3.0,4.0,1.0,24.0,13.0,617399338.0,21.0,443468560.0,8173.0,57.0,100146120.0,,439369996.0,628967623.0,21.0,9214882.0,9447505.0,1215542469.0,776172473.0,104779169.0,-4633049.0
LUX,SVK,2016,4.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,4.0,4.0,1.0,30.0,6.0,189549087.7,25.0,-41516746.45,2509.0,43.0,24549752.57,,81141554.47,124843799.3,25.0,5066957.309,7343070.674,461537991.2,380396436.7,24549752.57,
LUX,SVK,2017,4.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0,4.0,5.0,1.0,28.0,6.0,177710267.0,25.0,17898661.0,1701.0,41.0,28246501.0,,51996768.0,21681196.0,25.0,3742237.0,4695020.0,372879181.0,320882412.0,28625361.0,-378860.0
LUX,SVK,2018,6.0,2.0,0.0,5.0,3.0,0.0,1.0,16.0,6.0,6.0,2.0,35.0,13.0,7103064195.0,29.0,-1869850114.0,6302.0,69.0,1109543631.0,,638795333.1,7008337019.0,29.0,-288133290.1,-316841891.3,3528498892.0,2889703558.0,1110168393.0,-624761.927
LUX,SVK,2019,6.0,2.0,0.0,5.0,3.0,0.0,1.0,16.0,7.0,4.0,2.0,36.0,14.0,8978091503.0,30.0,-1667331450.0,6108.0,72.0,1192235358.0,,486456773.0,6656579805.0,30.0,-342606186.0,-226292471.0,3495016860.0,3008560087.0,1193193450.0,-958092.0
LUX,SVK,2020,9.0,1.0,0.0,6.0,4.0,0.0,2.0,16.0,8.0,5.0,2.0,44.0,22.0,11008175299.0,36.0,-1594171112.0,6542.0,85.0,1161719605.0,,491232010.2,6830024438.0,36.0,-345410536.1,-401542524.9,3509857331.0,3018625321.0,1163050963.0,-1331358.081
